Age of air (ybp)	Temperature anomaly (deg. C)	Carbon dioxide concentration (ppm)
13476	-4.28	234.2181818
13539	-4.02	233.2272727
13600	-3.57	232.2363636
13659	-3.27	231.2454545
13718	-2.91	230.2545455
13774	-2.19	229.2636364
13828	-2.04	228.2727273
13883	-2.24	227.2818182
13938	-2.06	226.2909091
13989	-2.19	225.3
13992	-2.32	224.5018519
14048	-2.57	223.7037037
14105	-2.83	222.9055556
14163	-3.08	222.1074074
14221	-3.34	221.3092593
14281	-3.6	220.5111111
14342	-3.85	219.712963
14404	-4.11	218.9148148
14466	-3.64	218.1166667
14526	-3.82	217.3185185
14589	-4.34	216.5203704
14651	-3.98	215.7222222
14713	-3.92	214.9240741
14775	-4.14	214.1259259
14839	-4.52	213.3277778
14904	-4.68	212.5296296
14968	-4.44	211.7314815
15032	-4.66	210.9333333
15099	-5.32	210.1351852
15167	-5.4	209.337037
15234	-5	208.5388889
15300	-4.81	207.7407407
15366	-4.74	206.9425926
15432	-5.15	206.1444444
15501	-5.71	205.3462963
15570	-5.6	204.5481481
15639	-5.44	203.75
15708	-5.57	202.9518519
15777	-5.29	202.1537037
15845	-5.35	201.3555556
15915	-6.19	200.5574074
15987	-5.99	199.7592593
16057	-5.75	198.9611111
16128	-6.08	198.162963
16201	-6.34	197.3648148
16275	-6.74	196.5666667
16350	-6.88	195.7685185
16426	-6.88	194.9703704
16502	-6.74	194.1722222
16577	-6.77	193.3740741
16653	-6.97	192.5759259
16729	-7.16	191.7777778
16808	-7.49	190.9796296
16889	-8.33	190.1814815
16974	-8.51	189.3833333
17058	-8.04	188.5851852
17139	-7.6	187.787037
17219	-7.53	186.9888889
17298	-7.45	186.1907407
17379	-8.09	185.3925926
17462	-8.27	184.5944444
17544	-7.68	183.7962963
17625	-7.78	182.9981481
17695	-7.81	182.2
17706	-7.84	182.4413793
17787	-7.82	182.6827586
17868	-7.72	182.9241379
17949	-7.75	183.1655172
18031	-8.19	183.4068966
18116	-8.63	183.6482759
18201	-8.16	183.8896552
18283	-7.89	184.1310345
18365	-7.74	184.3724138
18446	-7.97	184.6137931
18530	-8.5	184.8551724
18615	-8.43	185.0965517
18701	-8.73	185.337931
18787	-8.46	185.5793103
18870	-7.58	185.8206897
18950	-7.63	186.062069
19032	-8.11	186.3034483
19116	-8.26	186.5448276
19199	-8.03	186.7862069
19282	-7.81	187.0275862
19362	-7.54	187.2689655
19443	-7.7	187.5103448
19525	-8.15	187.7517241
19610	-8.45	187.9931034
19696	-8.71	188.2344828
19782	-8.52	188.4758621
19868	-8.61	188.7172414
19953	-7.99	188.9586207
19988	-7.805	189.2
20035	-7.62	189.2648649
20116	-7.84	189.3297297
20197	-7.52	189.3945946
20278	-7.82	189.4594595
20361	-8.11	189.5243243
20444	-8.08	189.5891892
20528	-8.03	189.6540541
20611	-8.04	189.7189189
20694	-7.96	189.7837838
20777	-7.87	189.8486486
20859	-7.94	189.9135135
20943	-8.12	189.9783784
21026	-8.1	190.0432432
21110	-7.93	190.1081081
21192	-7.91	190.172973
21275	-7.91	190.2378378
21358	-8	190.3027027
21442	-8.09	190.3675676
21525	-7.73	190.4324324
21605	-7.36	190.4972973
21686	-7.66	190.5621622
21769	-8.24	190.627027
21854	-8.33	190.6918919
21939	-8.12	190.7567568
22023	-8.15	190.8216216
22108	-8.41	190.8864865
22196	-8.82	190.9513514
22284	-8.82	191.0162162
22371	-8.45	191.0810811
22457	-8.3	191.1459459
22543	-8.37	191.2108108
22629	-8.45	191.2756757
22716	-8.52	191.3405405
22803	-8.59	191.4054054
22888	-7.97	191.4702703
22972	-7.92	191.5351351
22977	-8.21	191.6
23057	-8.5	191.5225
23145	-8.8	191.445
23234	-8.89	191.3675
23324	-9.01	191.29
23412	-8.54	191.2125
23497	-7.76	191.135
23581	-8.2	191.0575
23668	-8.63	190.98
23755	-8.63	190.9025
23843	-8.63	190.825
23931	-8.44	190.7475
24017	-8.26	190.67
24102	-8.03	190.5925
24186	-7.87	190.515
24272	-8.68	190.4375
24363	-9.39	190.36
24453	-8.46	190.2825
24537	-7.53	190.205
24619	-7.51	190.1275
24700	-7.5	190.05
24781	-7.25	189.9725
24860	-7	189.895
24941	-7.57	189.8175
25024	-8.14	189.74
25109	-7.98	189.6625
25193	-7.83	189.585
25277	-7.68	189.5075
25360	-7.89	189.43
25445	-8.27	189.3525
25531	-8.13	189.275
25615	-7.7	189.1975
25697	-7.05	189.12
25776	-6.98	189.0425
25855	-7.26	188.965
25936	-7.29	188.8875
26017	-7.47	188.81
26099	-7.48	188.7325
26180	-7.16	188.655
26261	-7.24	188.5775
26303	-7.395	188.5
26342	-7.55	188.82
26425	-7.82	189.14
26510	-8.05	189.46
26595	-8.09	189.78
26681	-8.09	190.1
26766	-7.74	190.42
26849	-7.56	190.74
26933	-7.9	191.06
27019	-8.64	191.38
27062	-8.83	191.7
27110	-9.02	191.9634615
27202	-9.02	192.2269231
27293	-8.82	192.4903846
27382	-8.62	192.7538462
27470	-8.14	193.0173077
27555	-7.84	193.2807692
27641	-8.28	193.5442308
27730	-8.66	193.8076923
27819	-8.52	194.0711538
27907	-8.27	194.3346154
27993	-8.09	194.5980769
28079	-7.9	194.8615385
28163	-7.69	195.125
28247	-7.49	195.3884615
28331	-8.16	195.6519231
28420	-8.82	195.9153846
28510	-8.47	196.1788462
28597	-8.12	196.4423077
28683	-7.77	196.7057692
28766	-7.42	196.9692308
28848	-7.07	197.2326923
28927	-6.71	197.4961538
29006	-6.71	197.7596154
29085	-6.98	198.0230769
29166	-7.25	198.2865385
29249	-7.52	198.55
29332	-7.79	198.8134615
29418	-8.05	199.0769231
29505	-8.35	199.3403846
29594	-8.37	199.6038462
29682	-8.33	199.8673077
29771	-8.58	200.1307692
29861	-8.43	200.3942308
29949	-8.3	200.6576923
30036	-7.95	200.9211538
30120	-7.14	201.1846154
30201	-7.02	201.4480769
30283	-7.62	201.7115385
30368	-7.83	201.975
30453	-7.75	202.2384615
30538	-7.64	202.5019231
30622	-7.52	202.7653846
30705	-7.41	203.0288462
30788	-7.3	203.2923077
30871	-7.63	203.5557692
30957	-7.95	203.8192308
31043	-8	204.0826923
31130	-8.05	204.3461538
31216	-7.85	204.6096154
31302	-7.65	204.8730769
31387	-7.77	205.1365385
31447	-7.9	205.4
31473	-8.03	205.5193548
31560	-8.2	205.6387097
31648	-7.93	205.7580645
31733	-7.4	205.8774194
31815	-7.14	205.9967742
31896	-6.77	206.116129
31976	-6.74	206.2354839
32056	-6.79	206.3548387
32137	-7.09	206.4741935
32219	-7.27	206.5935484
32300	-6.61	206.7129032
32380	-7.07	206.8322581
32463	-7.49	206.9516129
32546	-6.99	207.0709677
32626	-6.62	207.1903226
32705	-6.71	207.3096774
32787	-7.47	207.4290323
32871	-7.47	207.5483871
32955	-7.29	207.6677419
33039	-7.59	207.7870968
33124	-7.6	207.9064516
33209	-7.6	208.0258065
33293	-7.34	208.1451613
33376	-7.07	208.2645161
33459	-7.44	208.383871
33544	-7.54	208.5032258
33628	-7.31	208.6225806
33711	-7.12	208.7419355
33793	-7.17	208.8612903
33877	-7.36	208.9806452
33884	-7.265	209.1
33960	-7.17	209.1
34041	-6.53	209.1
34121	-6.88	209.1
34202	-6.76	209.1
34281	-6.25	209.1
34360	-6.59	209.1
34438	-6.08	209.1
34515	-6.01	209.1
34592	-6.15	209.1
34669	-5.87	209.1
34744	-5.7	209.1
34818	-5.14	209.1
34889	-4.82	209.1
34960	-5.05	209.1
35033	-5.52	209.1
35108	-5.98	209.1
35185	-5.9	209.1
35261	-5.82	209.1
35336	-5.39	209.1
35409	-5.24	209.1
35482	-5.37	209.1
35556	-5.55	209.1
35631	-5.65	209.1
35705	-5.41	209.1
35780	-5.62	209.1
35855	-5.72	209.1
35930	-5.77	209.1
36007	-6.22	209.1
36086	-6.4	209.1
36166	-6.7	209.1
36248	-7.03	209.1
36331	-7.22	209.1
36416	-7.7	209.1
36502	-7.3	209.1
36585	-6.67	209.1
36666	-6.97	209.1
36748	-6.65	209.1
36827	-6.02	209.1
36905	-6.32	209.1
36985	-6.62	209.1
37066	-6.76	209.1
37148	-6.9	209.1
37230	-6.9	209.1
37313	-6.97	209.1
37396	-7.2	209.1
37479	-6.8	209.1
37558	-5.97	209.1
37637	-6.38	209.1
37718	-6.88	209.1
37799	-6.6	209.1
37880	-6.45	209.1
37959	-6.3	209.1
38039	-6.43	209.1
38120	-6.66	209.1
38201	-6.8	209.1
38284	-6.96	209.1
38367	-7.09	209.1
38451	-7.18	209.1
38535	-7.18	209.1
38619	-6.94	209.1
38702	-6.73	209.1
38783	-6.69	209.1
38865	-6.64	209.1
38946	-6.6	209.1
39027	-6.56	209.1
39107	-6.21	209.1
39185	-5.93	209.1
39263	-5.93	209.1
39341	-6.16	209.1
39420	-6.24	209.1
39499	-6.24	209.1
39579	-6.13	209.1
39657	-6.13	209.1
39735	-5.91	209.1
39812	-5.48	209.1
39880	-5.86	209.1
39889	-6.24	208.7857143
39971	-6.96	208.4714286
40054	-6.91	208.1571429
40138	-7.21	207.8428571
40223	-7.07	207.5285714
40305	-6.31	207.2142857
40386	-6.51	206.9
40468	-6.91	206.5857143
40551	-6.71	206.2714286
40632	-6.56	205.9571429
40714	-6.67	205.6428571
40796	-6.46	205.3285714
