Age of air (ybp)	Temperature anomaly (deg. C)	Carbon dioxide concentration (ppm)
77094	-5.42	223.15
77175	-5.9	222.8869565
77259	-6.33	222.623913
77345	-6.71	222.3608696
77433	-7.14	222.0978261
77521	-6.59	221.8347826
77606	-5.81	221.5717391
77687	-5.76	221.3086957
77769	-5.81	221.0456522
77853	-6.45	220.7826087
77938	-6.52	220.5195652
78025	-6.62	220.2565217
78113	-7.28	219.9934783
78200	-6.06	219.7304348
78277	-3.82	219.4673913
78353	-5.71	219.2043478
78437	-6.79	218.9413043
78522	-6.12	218.6782609
78606	-6.32	218.4152174
78690	-6.06	218.1521739
78772	-5.78	217.8891304
78854	-5.87	217.626087
78937	-6.24	217.3630435
78995	-6.075	217.1
79020	-5.91	217.4133333
79098	-4.8	217.7266667
79174	-4.8	218.04
79251	-5	218.3533333
79327	-4.76	218.6666667
79402	-4.33	218.98
79478	-5.43	219.2933333
79557	-5.5	219.6066667
79636	-5.23	219.92
79714	-4.93	220.2333333
79791	-5.28	220.5466667
79870	-5.41	220.86
79947	-4.95	221.1733333
80020	-3.66	221.4866667
80059	-4.265	221.8
80093	-4.87	222.0358974
80173	-6.38	222.2717949
80257	-6.11	222.5076923
80341	-6.39	222.7435897
80422	-5.41	222.9794872
80498	-4.45	223.2153846
80572	-4.25	223.4512821
80645	-4.4	223.6871795
80719	-4.75	223.9230769
80794	-4.75	224.1589744
80869	-4.5	224.3948718
80943	-4.67	224.6307692
81019	-4.93	224.8666667
81096	-5.2	225.1025641
81170	-4.04	225.3384615
81240	-3.29	225.574359
81309	-3.87	225.8102564
81381	-4.45	226.0461538
81453	-3.89	226.2820513
81523	-3.33	226.5179487
81592	-3.79	226.7538462
81662	-3.79	226.9897436
81732	-3.81	227.225641
81802	-3.74	227.4615385
81872	-3.73	227.6974359
81942	-3.83	227.9333333
82012	-3.48	228.1692308
82080	-3.56	228.4051282
82148	-3.01	228.6410256
82213	-2.54	228.8769231
82280	-3.65	229.1128205
82352	-4.85	229.3487179
82427	-4.59	229.5846154
82500	-4.31	229.8205128
82573	-4.53	230.0564103
82647	-4.75	230.2923077
82721	-4.27	230.5282051
82792	-3.78	230.7641026
82858	-3.44	231
82860	-3.1	231.315625
82925	-2.42	231.63125
82990	-2.98	231.946875
83055	-2.58	232.2625
83121	-3.46	232.578125
83190	-3.92	232.89375
83261	-3.94	233.209375
83331	-3.94	233.525
83401	-3.7	233.840625
83470	-3.62	234.15625
83538	-3.27	234.471875
83608	-4.39	234.7875
83679	-3.71	235.103125
83747	-3.23	235.41875
83814	-3.2	235.734375
83881	-3.54	236.05
83952	-4.32	236.365625
84025	-4.64	236.68125
84097	-4.27	236.996875
84168	-3.91	237.3125
84238	-3.91	237.628125
84308	-3.92	237.94375
84378	-4.01	238.259375
84448	-3.76	238.575
84515	-2.53	238.890625
84576	-1.64	239.20625
84638	-2.65	239.521875
84703	-3.03	239.8375
84770	-3.43	240.153125
84838	-3.49	240.46875
84905	-3.29	240.784375
84929	-3.105	241.1
84971	-2.92	240.7384615
85036	-2.64	240.3769231
85100	-2.48	240.0153846
85164	-2.92	239.6538462
85229	-3.12	239.2923077
85296	-3.23	238.9307692
85361	-2.69	238.5692308
85425	-2.64	238.2076923
85489	-2.47	237.8461538
85551	-2.34	237.4846154
85615	-2.71	237.1230769
85680	-3	236.7615385
85727	-3.265	236.4
85746	-3.53	235.57
85814	-3.42	234.74
85881	-3.53	233.91
85949	-3.51	233.08
86016	-3.38	232.25
86083	-3.38	231.42
86150	-3.38	230.59
86218	-3.63	229.76
86286	-3.76	228.93
86323	-3.7	228.1
86355	-3.64	227.0307692
86423	-3.78	225.9615385
86492	-3.91	224.8923077
86562	-4.34	223.8230769
86635	-4.87	222.7538462
86707	-3.99	221.6846154
86777	-4.35	220.6153846
86848	-4.14	219.5461538
86919	-4.12	218.4769231
86989	-4.17	217.4076923
87060	-4.4	216.3384615
87132	-4.49	215.2692308
87180	-4.44	214.2
87203	-4.39	214.4
87274	-3.86	214.6
87342	-3.46	214.8
87410	-4.15	215
87482	-4.83	215.2
87554	-4.35	215.4
87624	-3.8	215.6
87695	-4.55	215.8
87766	-4.28	216
87837	-4.13	216.2
87907	-4.21	216.4
87978	-4.43	216.6
88049	-4.43	216.8
88051	-4.61	217
88122	-4.79	216.5
88196	-5.13	216
88271	-5.12	215.5
88345	-5.12	215
88420	-5.11	214.5
88495	-5.1	214
88570	-5.07	213.5
88644	-5.03	213
88719	-5.07	212.5
88793	-4.93	212
88866	-4.86	211.5
88938	-4.09	211
89008	-4.1	210.5
89077	-4.11	210
89148	-4.65	209.5
89221	-4.91	209
89296	-5.34	208.5
89363	-5.55	208
89373	-5.76	208.4939394
89450	-5.23	208.9878788
89523	-4.69	209.4818182
89597	-5.1	209.9757576
89672	-5.43	210.469697
89748	-5.42	210.9636364
89825	-5.41	211.4575758
89900	-5.06	211.9515152
89973	-4.69	212.4454545
90048	-5.61	212.9393939
90128	-6.68	213.4333333
90209	-5.94	213.9272727
90286	-5.34	214.4212121
90362	-5.58	214.9151515
90440	-5.73	215.4090909
90517	-5.77	215.9030303
90594	-5.18	216.3969697
90668	-5.11	216.8909091
90740	-4.16	217.3848485
90812	-5	217.8787879
90885	-4.79	218.3727273
90959	-5.02	218.8666667
91033	-4.99	219.3606061
91107	-5.19	219.8545455
91182	-5.21	220.3484848
91258	-5.72	220.8424242
91336	-5.81	221.3363636
91411	-4.73	221.830303
91480	-3.53	222.3242424
91547	-3.61	222.8181818
91615	-4.05	223.3121212
91685	-4.12	223.8060606
91691	-3.985	224.3
91753	-3.85	224.6727273
91823	-4.61	225.0454545
91896	-4.85	225.4181818
91968	-4.59	225.7909091
92040	-4.83	226.1636364
92114	-5.1	226.5363636
92187	-4.71	226.9090909
92259	-4.54	227.2818182
92329	-3.99	227.6545455
92398	-4.12	228.0272727
92460	-4.53	228.4
92470	-4.94	228.4880952
92542	-4.77	228.5761905
92617	-5.45	228.6642857
92690	-4.58	228.752381
92759	-3.32	228.8404762
92827	-4.28	228.9285714
92897	-4.46	229.0166667
92967	-4.06	229.1047619
93037	-4.14	229.1928571
93107	-4.62	229.2809524
93180	-5.15	229.3690476
93254	-4.7	229.4571429
93325	-4.48	229.5452381
93397	-4.69	229.6333333
93468	-4.44	229.7214286
93540	-4.92	229.8095238
93615	-5.61	229.897619
93690	-4.68	229.9857143
93761	-4.27	230.0738095
93829	-3.45	230.1619048
93895	-3.27	230.25
93961	-3.45	230.3380952
94026	-3.25	230.4261905
94093	-3.88	230.5142857
94164	-4.97	230.602381
94238	-4.97	230.6904762
94311	-4.84	230.7785714
94382	-4.12	230.8666667
94450	-3.66	230.9547619
94517	-3.51	231.0428571
94585	-4.15	231.1309524
94655	-4.35	231.2190476
94725	-4.45	231.3071429
94795	-4.05	231.3952381
94864	-3.87	231.4833333
94932	-3.8	231.5714286
95000	-3.96	231.6595238
95070	-4.39	231.747619
95141	-4.77	231.8357143
95214	-4.9	231.9238095
95284	-3.64	232.0119048
95349	-3.515	232.1
95351	-3.39	232.0060606
95418	-3.89	231.9121212
95487	-4	231.8181818
95556	-4	231.7242424
95624	-4	231.630303
95693	-3.85	231.5363636
95761	-3.7	231.4424242
95828	-3.7	231.3484848
95895	-3.7	231.2545455
95964	-4	231.1606061
96033	-4.3	231.0666667
96103	-3.95	230.9727273
96170	-3.5	230.8787879
96237	-3.5	230.7848485
96304	-3.8	230.6909091
96372	-3.87	230.5969697
96441	-4.23	230.5030303
96511	-4.35	230.4090909
96582	-4.28	230.3151515
96652	-4.35	230.2212121
96722	-3.88	230.1272727
96791	-4.2	230.0333333
96861	-4.51	229.9393939
96933	-4.51	229.8454545
97004	-4.51	229.7515152
97075	-4.42	229.6575758
97148	-5.24	229.5636364
97222	-4.9	229.469697
97294	-4.35	229.3757576
97365	-4.57	229.2818182
97439	-5.46	229.1878788
97514	-4.98	229.0939394
97588	-4.88	229
97659	-4.12	228.9060606
97727	-3.36	228.8121212
97794	-4.1	228.7181818
97864	-4.24	228.6242424
97936	-4.82	228.530303
98010	-5.38	228.4363636
98085	-4.87	228.3424242
98157	-4.38	228.2484848
98228	-4.51	228.1545455
98300	-4.84	228.0606061
98371	-3.93	227.9666667
98439	-3.5	227.8727273
98505	-3.51	227.7787879
98572	-3.51	227.6848485
98640	-4.12	227.5909091
98712	-4.75	227.4969697
98783	-4.39	227.4030303
98855	-4.56	227.3090909
98925	-4	227.2151515
98994	-3.8	227.1212121
99063	-4.17	227.0272727
99134	-4.58	226.9333333
99205	-4.35	226.8393939
99275	-4.12	226.7454545
99345	-4.07	226.6515152
99414	-4.03	226.5575758
99484	-4.01	226.4636364
99553	-3.95	226.369697
99622	-3.92	226.2757576
99691	-4.08	226.1818182
99760	-3.89	226.0878788
99828	-3.49	225.9939394
99842	-3.49	225.9
99894	-3.49	226.2333333
99961	-3.49	226.5666667
100028	-3.45	226.9
100095	-3.65	227.2333333
100163	-3.83	227.5666667
100232	-4.08	227.9
100301	-3.59	228.2333333
100367	-3.11	228.5666667
100432	-3.11	228.9
100498	-3.39	229.2333333
100565	-3.68	229.5666667
100633	-3.68	229.9
100700	-3.61	230.2333333
100768	-3.53	230.5666667
100833	-3.475	230.9
100835	-3.42	231.2529412
100902	-3.64	231.6058824
100969	-3.52	231.9588235
101036	-3.41	232.3117647
101102	-3.29	232.6647059
101168	-3.18	233.0176471
101234	-3.18	233.3705882
101299	-2.99	233.7235294
101363	-2.77	234.0764706
101427	-2.67	234.4294118
101490	-2.58	234.7823529
101554	-2.96	235.1352941
101618	-2.81	235.4882353
101681	-2.27	235.8411765
101743	-2.37	236.1941176
101806	-2.49	236.5470588
101829	-2.425	236.9
101868	-2.36	236.552
101930	-2.23	236.204
101991	-2.1	235.856
102052	-1.97	235.508
102114	-2.42	235.16
102177	-2.86	234.812
102241	-2.63	234.464
102304	-2.42	234.116
102366	-2.26	233.768
102427	-2.11	233.42
102489	-2.48	233.072
102553	-2.85	232.724
102618	-3.08	232.376
102684	-3.32	232.028
102749	-2.82	231.68
102812	-2.33	231.332
102876	-2.93	230.984
102942	-3.55	230.636
103008	-3.09	230.288
103073	-2.61	229.94
103137	-3.19	229.592
103205	-3.78	229.244
103273	-3.67	228.896
103341	-3.55	228.548
103372	-3.795	228.2
103410	-4.04	228.5222222
103481	-4.52	228.8444444
103553	-4.46	229.1666667
103625	-4.41	229.4888889
103697	-4.41	229.8111111
103769	-4.5	230.1333333
103841	-4.45	230.4555556
103912	-4.3	230.7777778
103984	-4.24	231.1
104054	-4.16	231.4222222
104125	-4.11	231.7444444
104195	-4.05	232.0666667
104266	-4.22	232.3888889
104337	-4.4	232.7111111
104409	-4.37	233.0333333
104480	-4.32	233.3555556
104552	-4.33	233.6777778
104623	-4.33	234
104695	-4.25	234.3222222
104766	-4.17	234.6444444
104837	-4.17	234.9666667
104908	-4.52	235.2888889
104982	-4.85	235.6111111
105055	-4.66	235.9333333
105128	-4.48	236.2555556
105200	-4.28	236.5777778
105213	-4.19	236.9
105271	-4.1	236.4866667
105342	-4.2	236.0733333
105413	-4.29	235.66
105485	-4.51	235.2466667
105559	-4.71	234.8333333
105631	-4.33	234.42
105702	-3.93	234.0066667
105772	-3.93	233.5933333
105842	-3.92	233.18
105911	-3.82	232.7666667
105980	-3.71	232.3533333
106048	-3.21	231.94
106114	-2.71	231.5266667
106179	-3.37	231.1133333
106203	-3.695	230.7
106248	-4.02	230.9678571
106319	-4.25	231.2357143
106391	-4.48	231.5035714
106463	-4.26	231.7714286
106535	-4.04	232.0392857
106606	-4.32	232.3071429
106678	-4.6	232.575
106752	-4.84	232.8428571
106828	-5.07	233.1107143
106902	-4.73	233.3785714
106976	-4.4	233.6464286
107048	-4.4	233.9142857
107121	-4.4	234.1821429
107194	-4.88	234.45
107270	-5.36	234.7178571
107349	-5.92	234.9857143
107431	-6.48	235.2535714
107515	-6.48	235.5214286
107599	-6.48	235.7892857
107683	-6.48	236.0571429
107767	-6.67	236.325
107852	-6.85	236.5928571
107938	-6.9	236.8607143
108025	-6.95	237.1285714
108111	-6.95	237.3964286
108198	-6.83	237.6642857
108283	-6.71	237.9321429
108308	-6.71	238.2
108369	-6.71	239.0333333
108454	-6.64	239.8666667
108538	-6.57	240.7
108622	-6.43	241.5333333
108706	-6.28	242.3666667
108789	-6.28	243.2
108872	-6.28	244.0333333
108954	-6.27	244.8666667
108994	-6.27	245.7
109037	-6.27	246.05
109121	-6.53	246.4
109206	-6.81	246.75
109292	-6.81	247.1
109378	-6.44	247.45
109461	-6.09	247.8
109543	-6.09	248.15
109625	-6.09	248.5
109707	-6.2	248.85
109790	-6.3	249.2
109872	-5.88	249.55
109952	-5.47	249.9
110031	-5.53	250.25
110110	-5.58	250.6
110189	-5.58	250.95
110253	-5.58	251.3
110269	-5.58	251.64375
110348	-5.58	251.9875
110427	-5.57	252.33125
110507	-5.57	252.675
110586	-5.57	253.01875
110666	-5.57	253.3625
110746	-6	253.70625
110829	-6.42	254.05
110913	-6.25	254.39375
110996	-6.08	254.7375
111078	-5.88	255.08125
111159	-5.68	255.425
111239	-5.68	255.76875
111319	-5.68	256.1125
111399	-5.68	256.45625
111456	-5.68	256.8
111480	-5.68	257.4333333
111560	-5.68	258.0666667
111640	-5.68	258.7
111721	-6.02	259.3333333
111805	-6.37	259.9666667
111889	-6.37	260.6
111973	-6.16	261.2333333
112055	-5.94	261.8666667
112137	-5.94	262.5
112219	-5.94	263.1333333
112301	-5.94	263.7666667
112383	-5.94	264.4
112465	-5.93	265.0333333
112547	-5.82	265.6666667
112577	-5.76	266.3
112628	-5.7	265.8916667
112708	-5.67	265.4833333
112790	-5.86	265.075
112872	-6.06	264.6666667
112954	-5.93	264.2583333
113036	-5.8	263.85
113116	-5.4	263.4416667
113195	-4.98	263.0333333
113272	-4.98	262.625
113348	-4.86	262.2166667
113425	-4.85	261.8083333
113472	-4.87	261.4
113501	-4.89	262.8666667
113578	-4.94	264.3333333
113656	-5.27	265.8
113736	-5.62	267.2666667
113815	-5.1	268.7333333
113891	-4.57	270.2
113966	-4.57	271.6666667
114041	-4.45	273.1333333
114082	-4.39	274.6
114115	-4.33	274.47
114189	-4.36	274.34
114264	-4.39	274.21
114338	-4.31	274.08
114411	-4.24	273.95
114486	-4.59	273.82
114562	-4.95	273.69
114639	-4.78	273.56
114715	-4.6	273.43
114738	-4.465	273.3
114790	-4.33	272.8090909
114863	-4.06	272.3181818
114935	-3.75	271.8272727
115006	-3.45	271.3363636
115077	-3.89	270.8454545
115150	-4.32	270.3545455
115222	-3.41	269.8636364
115289	-2.48	269.3727273
115355	-2.47	268.8818182
115420	-2.47	268.3909091
115486	-2.47	267.9
115551	-2.47	267.4090909
115617	-2.47	266.9181818
115683	-2.56	266.4272727
115749	-2.64	265.9363636
115816	-3.11	265.4454545
115886	-3.57	264.9545455
115956	-3.34	264.4636364
116025	-3.08	263.9727273
116093	-2.97	263.4818182
116161	-2.86	262.9909091
116175	-2.87	262.5
116228	-2.88	262.7318182
116296	-2.83	262.9636364
116363	-2.76	263.1954545
116430	-2.71	263.4272727
116497	-2.67	263.6590909
116563	-2.67	263.8909091
116630	-2.67	264.1227273
116697	-2.53	264.3545455
116762	-2.41	264.5863636
116827	-2.11	264.8181818
116891	-1.83	265.05
116954	-1.62	265.2818182
117016	-1.44	265.5136364
117077	-1.44	265.7454545
117139	-1.63	265.9772727
117202	-1.83	266.2090909
117264	-1.59	266.4409091
117326	-1.36	266.6727273
117388	-1.67	266.9045455
117451	-2	267.1363636
117514	-1.5	267.3681818
117519	-1.24	267.6
117575	-0.98	268.0133333
117635	-1.26	268.4266667
117697	-1.54	268.84
117759	-1.67	269.2533333
117822	-1.85	269.6666667
117886	-1.88	270.08
117949	-1.78	270.4933333
118012	-1.66	270.9066667
118074	-1.31	271.32
118135	-0.94	271.7333333
118194	-0.93	272.1466667
118254	-0.93	272.56
118314	-1.19	272.9733333
118376	-1.46	273.3866667
118396	-1.455	273.8
118438	-1.45	273.68
118499	-1.12	273.56
118559	-0.8	273.44
118618	-0.57	273.32
118676	-0.31	273.2
118735	-1.04	273.08
118796	-1.77	272.96
118859	-1.47	272.84
118921	-1.16	272.72
118981	-1.16	272.6
119042	-0.84	272.48
119101	-0.51	272.36
119160	-0.95	272.24
119221	-1.4	272.12
119273	-1.4	272
119283	-1.4	271.4769231
119345	-1.33	270.9538462
119406	-1.27	270.4307692
119467	-1.07	269.9076923
119528	-1.09	269.3846154
119589	-1.31	268.8615385
119650	-1	268.3384615
119710	-0.68	267.8153846
119770	-1.07	267.2923077
119831	-1.47	266.7692308
119894	-1.47	266.2461538
119955	-1.16	265.7230769
120002	-1.01	265.2
120016	-0.86	266.2416667
120076	-1.08	267.2833333
120138	-1.29	268.325
120199	-1.09	269.3666667
120259	-0.87	270.4083333
120319	-0.86	271.45
120379	-0.86	272.4916667
120439	-0.63	273.5333333
120498	-0.41	274.575
120555	-0.14	275.6166667
120612	0.13	276.6583333
120652	0.075	277.7
120669	0.02	277.4708333
120726	-0.1	277.2416667
120783	-0.24	277.0125
120841	-0.49	276.7833333
120900	-0.59	276.5541667
120959	-0.58	276.325
121018	-0.75	276.0958333
121079	-0.93	275.8666667
121139	-0.92	275.6375
121199	-0.47	275.4083333
121256	0	275.1791667
121314	-0.32	274.95
121373	-0.65	274.7208333
121432	-0.64	274.4916667
121492	-0.62	274.2625
121551	-0.6	274.0333333
121610	-0.6	273.8041667
121669	-0.32	273.575
121727	-0.03	273.3458333
121784	-0.03	273.1166667
121840	0.28	272.8875
121896	0.58	272.6583333
121951	0.59	272.4291667
121961	0.35	272.2
122006	0.11	272.5583333
122064	-0.37	272.9166667
122122	-0.01	273.275
122178	0.32	273.6333333
122234	0.41	273.9916667
122290	0.5	274.35
122345	0.32	274.7083333
122402	0.13	275.0666667
122458	0.13	275.425
122515	0.27	275.7833333
122571	0.39	276.1416667
122606	0.285	276.5
122627	0.18	276.1454545
122684	-0.05	275.7909091
122742	-0.39	275.4363636
122801	-0.75	275.0818182
122861	-0.3	274.7272727
122919	-0.09	274.3727273
122977	-0.32	274.0181818
123036	-0.41	273.6636364
123095	-0.51	273.3090909
123154	-0.24	272.9545455
123211	0.05	272.6
123268	0.54	272.2454545
123322	1.02	271.8909091
123377	0.63	271.5363636
123432	0.22	271.1818182
123489	0.27	270.8272727
123545	0.34	270.4727273
123602	0.25	270.1181818
123658	0.16	269.7636364
123715	0.44	269.4090909
123770	0.71	269.0545455
123815	0.715	268.7
123825	0.72	267.65
123858	0.67	266.6
123880	0.62	266.5666667
123936	0.51	266.5333333
123991	0.4	266.5
124046	1.07	266.4666667
124100	1.24	266.4333333
124154	0.59	266.4
124209	0.6	266.3666667
124265	0.6	266.3333333
124306	0.55	266.3
124320	0.5	268.55
124376	0.4	270.8
124432	0.5	273.05
124488	0.58	275.3
124544	0.62	277.55
124571	0.635	279.8
124599	0.65	278.1
124654	0.62	276.4
124710	0.6	274.7
124723	0.6	273
124765	0.6	274.4
124821	0.65	275.8
124876	0.46	277.2
124877	0.27	277
124935	-0.14	276.8
124993	0.04	276.6
125050	0.24	276.4
125107	0.47	276.2
125162	0.69	276
125217	0.95	275.8
125271	1.22	275.6
125325	0.92	275.4
125380	0.61	275.2
125435	0.82	275
125490	1.02	274.8
125544	1.07	274.6
125598	1.11	274.4
125653	0.76	274.2
125708	0.43	274
125746	0.44	273.8
125765	0.45	272.6833333
125821	0.53	271.5666667
125877	0.61	270.45
125933	0.55	269.3333333
125989	0.47	268.2166667
126023	0.425	267.1
126046	0.38	266.5888889
126103	0.28	266.0777778
126160	0.17	265.5666667
126217	0.53	265.0555556
126272	1.03	264.5444444
126327	1	264.0333333
126381	0.97	263.5222222
126436	0.93	263.0111111
126475	0.915	262.5
126491	0.9	262.5125
126545	1.26	262.525
126598	1.61	262.5375
126650	1.93	262.55
126700	2.5	262.5625
126749	2.74	262.575
126799	2.07	262.5875
126809	1.74	262.6
126851	1.41	263.5846154
126904	1.73	264.5692308
126955	2.07	265.5538462
127006	2.06	266.5384615
127057	2.05	267.5230769
127108	2.04	268.5076923
127159	2.13	269.4923077
127210	2.22	270.4769231
127260	2.33	271.4615385
127310	2.44	272.4461538
127360	2.44	273.4307692
127410	2.46	274.4153846
127445	2.415	275.4
127460	2.37	275.425
127510	2.29	275.45
127560	2.4	275.475
127610	2.52	275.5
127660	2.37	275.525
127710	2.22	275.55
127760	2.43	275.575
127808	2.505	275.6
127810	2.58	275.4636364
127860	2.49	275.3272727
127910	2.16	275.1909091
127961	2.06	275.0545455
128012	2.26	274.9181818
128062	2.49	274.7818182
128112	2.72	274.6454545
128161	2.7	274.5090909
128210	2.68	274.3727273
128259	2.5	274.2363636
128300	2.64	274.1
128309	2.78	278.4333333
128357	3.23	282.7666667
128399	3.195	287.1
128405	3.16	287.0571429
128453	3.08	287.0142857
128501	3.06	286.9714286
128549	2.71	286.9285714
128599	2.37	286.8857143
128650	2.11	286.8428571
128652	1.99	286.8
128702	1.87	286.2142857
128753	2.16	285.6285714
128804	2.45	285.0428571
128854	2.2	284.4571429
128906	1.96	283.8714286
128958	1.7	283.2857143
129007	1.57	282.7
129011	1.44	280.6333333
129065	1.42	278.5666667
129119	1.39	276.5
129172	1.83	274.4333333
129224	2.25	272.3666667
129274	2.52	270.3
129324	2.78	268.2333333
129374	2.2	266.1666667
129411	1.435	264.1
129428	0.67	264
129486	-0.31	263.9
129545	0.56	263.8
129600	1.42	263.7
129653	1.78	263.6
129705	2.16	263.5
129755	2.055	263.4
129757	1.95	262.7125
129809	1.73	262.025
129863	1.6	261.3375
129916	1.31	260.65
129971	1.14	259.9625
130026	1.47	259.275
130079	1.81	258.5875
130106	1.8	257.9
130131	1.79	258.45
130167	1.515	259
130185	1.24	259.3733333
130241	0.68	259.7466667
130297	0.88	260.12
130353	0.84	260.4933333
130410	0.59	260.8666667
130467	0.57	261.24
130525	0.53	261.6133333
130582	0.4	261.9866667
130641	0.24	262.36
130699	0.14	262.7333333
130759	-0.13	263.1066667
130819	-0.31	263.48
130880	-0.43	263.8533333
130942	-0.54	264.2266667
130992	-0.55	264.6
131004	-0.56	262.9666667
131066	-0.58	261.3333333
131128	-0.79	259.7
131190	-0.42	258.0666667
131250	0.16	256.4333333
131311	-0.49	254.8
131374	-1.14	253.1666667
131439	-1.54	251.5333333
131506	-1.94	249.9
131574	-1.73	248.2666667
131641	-1.51	246.6333333
131661	-1.495	245
131707	-1.48	243.4666667
131773	-1.45	241.9333333
131789	-1.66	240.4
131840	-1.87	238.1
131908	-2.28	235.8
131978	-2.23	233.5
132048	-2.48	231.2
132067	-2.63	228.9
132120	-2.78	228.4090909
132192	-2.78	227.9181818
132264	-2.6	227.4272727
132335	-2.42	226.9363636
132406	-2.44	226.4454545
132477	-2.52	225.9545455
132548	-2.57	225.4636364
132619	-2.58	224.9727273
132691	-2.58	224.4818182
132763	-2.76	223.9909091
132818	-2.96	223.5
132836	-3.16	223.5625
132911	-3.36	223.625
132987	-3.61	223.6875
133065	-3.84	223.75
133142	-3.69	223.8125
133219	-3.54	223.875
133296	-3.73	223.9375
133334	-3.796666667	224
133366	-3.863333333	220.3
133374	-3.93	218.36
133452	-3.58	216.42
133528	-3.23	214.48
133603	-3.23	212.54
133636	-3.52	210.6
133679	-3.81	210.3875
133759	-4.41	210.175
133841	-4.46	209.9625
133923	-4.47	209.75
134005	-4.89	209.5375
134091	-5.28	209.325
134178	-5.4	209.1125
134205	-5.57	208.9
134266	-5.74	207.1666667
134356	-5.93	205.4333333
134362	-6.01	203.7
134447	-6.09	203.8285714
134538	-5.76	203.9571429
134628	-5.74	204.0857143
134719	-6.39	204.2142857
134815	-6.97	204.3428571
134912	-6.9	204.4714286
135003	-6.89	204.6
135009	-6.88	203.2
135107	-7.18	201.8
135172	-7.22	200.4
135207	-7.26	199.2
135271	-7.37	198
135308	-7.48	198.02
135408	-7.3	198.04
135507	-6.83	198.06
135604	-6.91	198.08
135683	-7.02	198.1
135702	-7.13	199.025
135802	-7.33	199.95
135903	-7.31	200.875
135976	-7.225	201.8
136003	-7.14	201.25
136099	-7.325	200.7
136103	-7.51	201.15
136206	-7.81	201.6
136309	-7.44	202.05
136359	-7.415	202.5
136411	-7.39	200.85
136512	-7.54	199.2
136614	-7.29	197.55
136659	-7.4	195.9
136715	-7.51	198.5
136743	-7.725	201.1
136819	-7.94	200.1428571
136923	-7.62	199.1857143
137026	-7.5	198.2285714
137130	-7.82	197.2714286
137235	-7.93	196.3142857
137341	-7.98	195.3571429
137383	-7.85	194.4
137446	-7.72	194.15
137549	-7.45	193.9
137651	-7.47	193.65
137694	-7.51	193.4
137754	-7.55	193.6
137858	-7.88	193.8
137966	-8.51	194
137986	-8.7	194.2
138078	-8.89	192.8666667
138193	-9.24	191.5333333
138226	-9.09	190.2
138308	-8.94	190.375
138420	-8.59	190.55
138532	-8.72	190.725
138644	-8.67	190.9
138756	-8.67	191.075
138868	-8.59	191.25
138978	-8.3	191.425
139087	-8.3	191.6
139197	-8.53	191.775
139308	-8.4	191.95
139418	-8.4	192.125
139445	-8.55	192.3
139530	-8.7	193.35
139643	-8.86	194.4
139756	-8.66	195.45
139851	-8.545	196.5
139868	-8.43	196.4357143
139979	-8.64	196.3714286
140093	-8.99	196.3071429
140207	-8.82	196.2428571
140319	-8.34	196.1785714
140430	-8.44	196.1142857
140542	-8.67	196.05
140655	-8.6	195.9857143
140766	-8.38	195.9214286
140876	-8.11	195.8571429
140986	-8.59	195.7928571
141100	-8.75	195.7285714
141212	-8.38	195.6642857
141256	-8.356666667	195.6
141312	-8.333333333	196.5
141323	-8.31	195.9454545
141434	-8.54	195.3909091
141547	-8.7	194.8363636
141661	-8.58	194.2818182
141773	-8.51	193.7272727
141885	-8.39	193.1727273
141997	-8.54	192.6181818
142108	-8.21	192.0636364
142218	-8.12	191.5090909
142329	-8.36	190.9545455
142357	-8.305	190.4
142440	-8.25	190.6357143
142551	-8.49	190.8714286
142665	-8.73	191.1071429
142779	-8.68	191.3428571
142893	-8.58	191.5785714
143006	-8.41	191.8142857
143117	-8.09	192.05
143227	-8.17	192.2857143
143338	-8.31	192.5214286
143450	-8.34	192.7571429
143562	-8.34	192.9928571
143675	-8.65	193.2285714
143790	-8.87	193.4642857
143905	-8.36	193.7
144016	-7.95	193.9357143
144126	-8.18	194.1714286
144237	-8.13	194.4071429
144346	-7.71	194.6428571
144453	-7.79	194.8785714
144562	-7.85	195.1142857
144671	-7.93	195.35
144782	-8.21	195.5857143
144894	-8.32	195.8214286
145006	-8.19	196.0571429
145116	-7.9	196.2928571
145226	-8	196.5285714
145337	-8.13	196.7642857
145435	-8.22	197
145449	-8.31	197.1714286
145563	-8.62	197.3428571
145678	-8.49	197.5142857
145792	-8.34	197.6857143
145905	-8.45	197.8571429
146019	-8.31	198.0285714
146131	-8	198.2
146242	-7.99	198.3714286
146352	-7.86	198.5428571
146461	-7.71	198.7142857
146570	-7.82	198.8857143
146681	-7.98	199.0571429
146792	-8.02	199.2285714
146903	-8	199.4
147014	-7.88	199.5714286
147124	-7.95	199.7428571
147236	-8.02	199.9142857
147347	-8.02	200.0857143
147459	-8.15	200.2571429
147572	-8.05	200.4285714
147684	-7.97	200.6
147796	-8.25	200.7714286
147910	-8.32	200.9428571
148025	-8.47	201.1142857
148141	-8.45	201.2857143
148253	-7.67	201.4571429
148362	-7.52	201.6285714
148471	-7.7	201.8
148581	-7.64	201.9714286
148691	-7.84	202.1428571
148802	-7.84	202.3142857
148913	-7.72	202.4857143
149022	-7.62	202.6571429
149132	-7.54	202.8285714
149157	-7.605	203
149241	-7.67	201.9909091
149351	-7.52	200.9818182
149460	-7.46	199.9727273
149569	-7.66	198.9636364
